OID_,STATEFP20,COUNTYFP20,TRACTCE20,BLKGRPCE20,GEOID20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Shape_STAr,Shape_STLe,GEOID,estimate,moe,OBJECTID,NAME,variable,GEOID20_1,OBJECTID_1,GEOID_1,total_esti,GEOID2,Multiplied
0,25,017,353900,2,250173539002,Block Group 2,G5030,S,112138.000000000000000,52563.000000000000000,+42.3662691,-071.1162109,1772710.667330000083894,8244.054894760000025,250173539002.000000000000000,28,30,698,"Block Group 2, Census Tract 3539, Middlesex County, Massachusetts",B25014_003,250173539002,698,250173539002.000000000000000,115,250173539002,143
1,25,017,354100,2,250173541002,Block Group 2,G5030,S,363851.000000000000000,47168.000000000000000,+42.3754773,-071.1271702,4427329.991129999980330,12507.655759999999646,250173541002.000000000000000,303,75,704,"Block Group 2, Census Tract 3541, Middlesex County, Massachusetts",B25014_003,250173541002,704,250173541002.000000000000000,475,250173541002,778
2,25,017,353300,1,250173533001,Block Group 1,G5030,S,92624.000000000000000,0.000000000000000,+42.3629041,-071.1069814,999517.423415999975987,4015.308628140000110,250173533001.000000000000000,218,96,682,"Block Group 1, Census Tract 3533, Middlesex County, Massachusetts",B25014_003,250173533001,682,250173533001.000000000000000,240,250173533001,458
3,25,017,352101,2,250173521012,Block Group 2,G5030,S,49489.000000000000000,0.000000000000000,+42.3704597,-071.0739197,507102.984360000002198,2996.677760139999918,250173521012.000000000000000,139,53,653,"Block Group 2, Census Tract 3521.01, Middlesex County, Massachusetts",B25014_003,250173521012,653,250173521012.000000000000000,33,250173521012,172
4,25,017,353102,2,250173531022,Block Group 2,G5030,S,372365.000000000000000,305812.000000000000000,+42.3601076,-071.0909495,7278547.226959999650717,13771.090702100000271,250173531022.000000000000000,0,13,676,"Block Group 2, Census Tract 3531.02, Middlesex County, Massachusetts",B25014_003,250173531022,676,250173531022.000000000000000,0,250173531022,0
5,25,017,353000,2,250173530002,Block Group 2,G5030,S,97049.000000000000000,0.000000000000000,+42.3668889,-071.1014448,1044551.184080000035465,4569.341024680000373,250173530002.000000000000000,44,39,672,"Block Group 2, Census Tract 3530, Middlesex County, Massachusetts",B25014_003,250173530002,672,250173530002.000000000000000,45,250173530002,89
6,25,017,352101,3,250173521013,Block Group 3,G5030,S,175053.000000000000000,0.000000000000000,+42.3724876,-071.0761514,1884121.638959999894723,7827.387708960000055,250173521013.000000000000000,17,19,654,"Block Group 3, Census Tract 3521.01, Middlesex County, Massachusetts",B25014_003,250173521013,654,250173521013.000000000000000,38,250173521013,55
7,25,017,353102,1,250173531021,Block Group 1,G5030,S,242216.000000000000000,243349.000000000000000,+42.3603834,-071.0811781,5226212.507220000028610,9787.574260400000639,250173531021.000000000000000,0,13,675,"Block Group 1, Census Tract 3531.02, Middlesex County, Massachusetts",B25014_003,250173531021,675,250173531021.000000000000000,40,250173531021,40
8,25,017,354902,2,250173549022,Block Group 2,G5030,S,309841.000000000000000,14259.000000000000000,+42.3953335,-071.1379770,3488372.788459999952465,8769.352433640000527,250173549022.000000000000000,309,104,728,"Block Group 2, Census Tract 3549.02, Middlesex County, Massachusetts",B25014_003,250173549022,728,250173549022.000000000000000,367,250173549022,676
9,25,017,354601,1,250173546011,Block Group 1,G5030,S,184516.000000000000000,0.000000000000000,+42.3903341,-071.1416767,1985976.985940000042319,7293.012229910000315,250173546011.000000000000000,0,13,715,"Block Group 1, Census Tract 3546.01, Middlesex County, Massachusetts",B25014_003,250173546011,715,250173546011.000000000000000,0,250173546011,0
